@relation QSAR-Dataset-from-ChEMBL17-for-Drug-Target-with-ChEMBL_ID:CHEMBL253-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1

@attribute SpDiam_EA.ed. numeric
@attribute CATS2D_07_DL numeric
@attribute GATS5m numeric
@attribute SpDiam_EA.bo. numeric
@attribute Eig01_EA.bo. numeric
@attribute SM11_AEA.ri. numeric
@attribute SpMax_EA.bo. numeric
@attribute SsCH3 numeric
@attribute SM13_EA.ed. numeric
@attribute Eig01_AEA.ed. numeric
@attribute SpMax_AEA.ed. numeric
@attribute P_VSA_MR_7 numeric
@attribute nPyrazoles numeric
@attribute CATS2D_01_AA numeric
@attribute SpMin2_Bh.v. numeric
@attribute SM15_EA.ed. numeric
@attribute SM03_EA.ed. numeric
@attribute C.026 numeric
@attribute MATS8p numeric
@attribute SsssCH numeric
@attribute nArX numeric
@attribute Eig01_EA numeric
@attribute SM09_AEA.bo. numeric
@attribute SpDiam_EA numeric
@attribute SpMax_EA numeric
@attribute MATS7m numeric
@attribute Eig01_AEA.ri. numeric
@attribute SpMax_AEA.ri. numeric
@attribute SM15_EA.bo. numeric
@attribute SpDiam_AEA.bo. numeric
@attribute P_VSA_m_2 numeric
@attribute SM10_EA.ed. numeric
@attribute Eig01_AEA.bo. numeric
@attribute SpMax_AEA.bo. numeric
@attribute Eta_FL_A numeric
@attribute DLS_04 numeric
@attribute Eig01_EA.ed. numeric
@attribute SM10_AEA.dm. numeric
@attribute SpMax_EA.ed. numeric
@attribute SM11_EA.ed. numeric
@attribute SM12_EA.ed. numeric
@attribute SM14_EA.ed. numeric
@attribute Eig02_AEA.ed. numeric
@attribute Eig03_EA.bo. numeric
@attribute SM13_AEA.ri. numeric
@attribute SM13_EA.bo. numeric
@attribute SpMax2_Bh.s. numeric
@attribute DLS_02 numeric
@attribute P_VSA_s_1 numeric
@attribute SpMax1_Bh.m. numeric
@attribute SM14_EA.bo. numeric
@attribute NNRS numeric
@attribute NssssC numeric
@attribute SpDiam_AEA.dm. numeric
@attribute Eig02_EA numeric
@attribute SM10_AEA.bo. numeric
@attribute NRS numeric
@attribute H.046 numeric
@attribute SM14_EA numeric
@attribute SpMax2_Bh.m. numeric
@attribute Eig03_AEA.ed. numeric
@attribute C.004 numeric
@attribute nCq numeric
@attribute SM09_EA.ed. numeric
@attribute Eig02_EA.ed. numeric
@attribute SM11_AEA.dm. numeric
@attribute cRo5 numeric
@attribute Eig02_AEA.bo. numeric
@attribute SM07_EA.ed. numeric
@attribute SM13_EA numeric
@attribute pXC50 numeric

@data
19.97, 4, 0.88, 7.567, 4.567, 4.567, 4.567, 1.454, 33.184, 7.314, 7.314, 44.718, 0.0, 1, 2.034, 38.176, 8.302, 1, -0.089, -0.137, 1, 3.418, 3.418, 5.418, 3.418, -0.079, 4.392, 4.392, 22.904, 5.811, 175.794, 25.742, 4.811, 4.811, 0.234, 0.8, 12.54, 12.54, 12.54, 28.208, 30.699, 35.68, 6.746, 3.525, 3.525, 19.917, 7.999, 0.67, 5.569, 4.723, 21.419, 1, 1, 5.992, 3.199, 3.199, 4, 0.0, 17.777, 4.031, 6.702, 0.0, 0.0, 23.249, 11.071, 11.071, 1, 4.445, 18.307, 16.582, 6
19.97, 4, 0.88, 7.567, 4.567, 4.567, 4.567, 1.454, 33.184, 7.314, 7.314, 44.718, 0.0, 1, 2.034, 38.176, 8.302, 1, -0.089, -0.137, 1, 3.418, 3.418, 5.418, 3.418, -0.079, 4.392, 4.392, 22.904, 5.811, 175.794, 25.742, 4.811, 4.811, 0.234, 0.8, 12.54, 12.54, 12.54, 28.208, 30.699, 35.68, 6.746, 3.525, 3.525, 19.917, 7.999, 0.67, 5.569, 4.723, 21.419, 1, 1, 5.992, 3.199, 3.199, 4, 0.0, 17.777, 4.031, 6.702, 0.0, 0.0, 23.249, 11.071, 11.071, 1, 4.445, 18.307, 16.582, 6
19.983, 4, 1.053, 7.567, 4.567, 4.567, 4.567, 1.432, 33.336, 7.313, 7.313, 44.718, 0.0, 1, 2.034, 38.328, 8.359, 1, -0.091, -1.661, 1, 3.414, 3.414, 5.414, 3.414, 0.005, 4.388, 4.388, 22.907, 5.809, 181.73, 25.884, 4.809, 4.809, 0.227, 0.6, 12.534, 12.534, 12.534, 28.354, 30.849, 35.833, 7.108, 3.525, 3.525, 19.921, 7.999, 0.67, 5.569, 4.723, 21.422, 1, 1, 6.326, 3.295, 3.295, 4, 0.0, 17.903, 4.032, 6.745, 0.0, 0.0, 23.384, 11.65, 11.65, 0.0, 4.445, 18.421, 16.703, 6
19.946, 4, 1.003, 7.567, 4.567, 4.567, 4.567, 1.571, 33.054, 7.311, 7.311, 44.718, 0.0, 1, 2.034, 38.069, 8.015, 1, -0.091, -0.029, 1, 3.4, 3.4, 5.4, 3.4, -0.055, 4.38, 4.38, 22.899, 5.808, 176.505, 25.571, 4.808, 4.808, 0.232, 0.8, 12.529, 12.529, 12.529, 28.05, 30.557, 35.563, 6.745, 3.525, 3.525, 19.908, 6.999, 0.67, 5.569, 4.723, 21.412, 1, 0.0, 5.62, 3.188, 3.188, 4, 2, 17.512, 4.031, 6.056, 0.0, 0.0, 23.061, 11.07, 11.07, 1, 4.445, 18.085, 16.312, 5.457
19.952, 4, 0.739, 7.706, 4.706, 4.706, 4.706, 1.532, 33.056, 7.312, 7.312, 84.105, 0.0, 1, 2.029, 38.071, 8.05, 4, -0.09, -0.121, 2, 3.402, 3.402, 5.402, 3.402, -0.041, 4.322, 4.322, 23.302, 5.814, 206.556, 25.573, 4.86, 4.86, 0.276, 0.6, 12.531, 12.531, 12.531, 28.052, 30.558, 35.564, 6.745, 3.548, 3.548, 20.244, 6.999, 0.83, 5.807, 4.737, 21.782, 1, 0.0, 6.687, 3.188, 3.188, 4, 0.0, 17.523, 4.025, 6.057, 0.0, 0.0, 23.062, 11.07, 11.07, 1, 4.404, 18.089, 16.324, 6
20.015, 5, 0.93, 7.71, 4.71, 4.71, 4.71, 1.508, 33.129, 7.315, 7.315, 123.253, 0.0, 1, 2.025, 38.143, 8.116, 5, -0.052, -0.215, 3, 3.406, 3.406, 5.406, 3.406, -0.003, 4.326, 4.326, 23.353, 5.818, 200.581, 25.651, 4.863, 4.863, 0.27, 0.5, 12.549, 12.549, 12.549, 28.127, 30.633, 35.637, 6.821, 3.639, 3.639, 20.303, 6.999, 0.67, 5.807, 4.738, 21.836, 1, 0.0, 6.688, 3.226, 3.226, 4, 0.0, 17.602, 4.109, 6.142, 0.0, 0.0, 23.139, 11.315, 11.315, 0.0, 4.458, 18.166, 16.403, 6.481
19.956, 5, 0.804, 7.706, 4.706, 4.706, 4.706, 1.512, 33.115, 7.312, 7.312, 123.253, 0.0, 1, 2.025, 38.125, 8.116, 5, -0.066, -0.211, 3, 3.402, 3.402, 5.402, 3.402, -0.046, 4.323, 4.323, 23.342, 5.815, 200.581, 25.64, 4.86, 4.86, 0.27, 0.5, 12.531, 12.531, 12.531, 28.115, 30.62, 35.621, 6.821, 3.638, 3.638, 20.293, 6.999, 0.67, 5.807, 4.737, 21.826, 1, 0.0, 6.687, 3.225, 3.225, 4, 0.0, 17.592, 4.109, 6.141, 0.0, 0.0, 23.13, 11.314, 11.314, 0.0, 4.457, 18.159, 16.394, 6.606
19.985, 5, 1.006, 7.708, 4.708, 4.708, 4.708, 1.391, 33.381, 7.313, 7.313, 84.105, 0.0, 1, 2.025, 38.37, 8.408, 4, -0.059, -0.327, 2, 3.414, 3.414, 5.414, 3.414, 0.011, 4.332, 4.332, 23.368, 5.817, 208.025, 25.933, 4.862, 4.862, 0.264, 0.5, 12.534, 12.534, 12.534, 28.402, 30.896, 35.876, 7.108, 3.755, 3.755, 20.329, 7.999, 0.67, 5.807, 4.736, 21.856, 1, 1, 6.687, 3.295, 3.295, 4, 0.0, 17.951, 4.109, 6.821, 0.0, 0.0, 23.433, 11.65, 11.65, 0.0, 4.459, 18.472, 16.751, 6.747
18.254, 3, 1.054, 7.23, 4.23, 4.23, 4.23, 3.653, 31.363, 6.743, 6.743, 9.476, 0.0, 0.0, 2.031, 36.127, 7.466, 3, -0.05, 0.158, 0.0, 3.207, 3.207, 5.207, 3.207, -0.156, 4.182, 4.182, 21.733, 5.558, 135.517, 24.277, 4.558, 4.558, 0.193, 1, 11.027, 11.027, 11.027, 26.607, 29.002, 33.751, 6.37, 2.902, 2.902, 18.88, 7.413, 1, 0.0, 3.994, 20.323, 0.667, 0.0, 5.755, 2.882, 2.882, 2, 11, 16.552, 3.743, 5.666, 0.0, 0.0, 21.862, 9.618, 9.618, 1, 4.22, 17.121, 15.403, 8.018
18.273, 3, 0.985, 7.23, 4.23, 4.23, 4.23, 2.048, 31.373, 6.744, 6.744, 9.476, 0.0, 0.0, 2.032, 36.139, 7.466, 3, -0.076, 0.121, 0.0, 3.208, 3.208, 5.208, 3.208, -0.146, 4.183, 4.183, 21.735, 5.559, 137.696, 24.285, 4.559, 4.559, 0.189, 1, 11.036, 11.036, 11.036, 26.616, 29.011, 33.762, 6.371, 2.908, 2.908, 18.882, 7.445, 1, 0.0, 3.996, 20.325, 0.667, 0.0, 5.755, 2.884, 2.884, 2, 11, 16.559, 3.743, 5.674, 0.0, 0.0, 21.869, 9.624, 9.624, 1, 4.222, 17.128, 15.409, 7.446
23.345, 0.0, 0.835, 8.02, 5.02, 5.02, 5.02, 5.432, 35.042, 7.866, 7.866, 17.899, 0.0, 0.0, 2.056, 40.352, 8.637, 6, 0.037, -0.589, 0.0, 3.661, 3.661, 5.661, 3.661, -0.251, 4.527, 4.527, 24.648, 5.934, 178.301, 27.11, 5.098, 5.098, 0.268, 0.5, 14.537, 14.537, 14.537, 29.742, 32.395, 37.697, 7.55, 4.43, 4.43, 21.488, 7.715, 0.67, 17.899, 4.833, 23.07, 1, 0.0, 7.461, 3.375, 3.375, 3, 0.0, 18.552, 4.714, 6.484, 0.0, 0.0, 24.456, 13.132, 13.132, 1, 4.853, 19.188, 17.29, 8.347
19.946, 4, 0.99, 7.568, 4.568, 4.568, 4.568, 1.582, 33.054, 7.311, 7.311, 44.718, 0.0, 1, 2.029, 38.069, 8.015, 2, -0.092, -0.075, 1, 3.4, 3.4, 5.4, 3.4, -0.052, 4.382, 4.382, 22.882, 5.81, 176.934, 25.571, 4.81, 4.81, 0.234, 0.8, 12.529, 12.529, 12.529, 28.05, 30.557, 35.563, 6.745, 3.545, 3.545, 19.889, 6.999, 0.83, 5.569, 4.723, 21.394, 1, 0.0, 5.588, 3.188, 3.188, 4, 2, 17.512, 4.025, 6.056, 0.0, 0.0, 23.061, 11.07, 11.07, 1, 4.402, 18.085, 16.312, 5.964
19.952, 4, 0.926, 7.568, 4.568, 4.568, 4.568, 1.524, 33.056, 7.312, 7.312, 44.718, 0.0, 1, 2.029, 38.071, 8.05, 2, -0.093, -1.088, 1, 3.402, 3.402, 5.402, 3.402, -0.064, 4.384, 4.384, 22.883, 5.811, 176.578, 25.573, 4.811, 4.811, 0.236, 0.8, 12.531, 12.531, 12.531, 28.052, 30.558, 35.564, 6.745, 3.545, 3.545, 19.889, 7.717, 0.83, 5.569, 4.723, 21.395, 1, 0.0, 5.589, 3.188, 3.188, 4, 0.0, 17.523, 4.025, 6.057, 0.0, 0.0, 23.062, 11.07, 11.07, 1, 4.402, 18.089, 16.324, 6
19.983, 4, 1.041, 7.569, 4.569, 4.569, 4.569, 1.443, 33.336, 7.313, 7.313, 44.718, 0.0, 1, 2.029, 38.328, 8.359, 2, -0.079, -1.705, 1, 3.414, 3.414, 5.414, 3.414, 0.008, 4.389, 4.389, 22.89, 5.811, 182.159, 25.884, 4.811, 4.811, 0.228, 0.7, 12.534, 12.534, 12.534, 28.354, 30.849, 35.833, 7.108, 3.545, 3.545, 19.902, 7.999, 0.67, 5.569, 4.723, 21.404, 1, 1, 6.326, 3.295, 3.295, 4, 0.0, 17.903, 4.025, 6.745, 0.0, 0.0, 23.384, 11.65, 11.65, 0.0, 4.402, 18.421, 16.703, 6.218
19.97, 4, 0.868, 7.569, 4.569, 4.569, 4.569, 1.465, 33.184, 7.314, 7.314, 44.718, 0.0, 1, 2.029, 38.176, 8.302, 2, -0.093, -0.183, 1, 3.418, 3.418, 5.418, 3.418, -0.076, 4.394, 4.394, 22.887, 5.812, 176.223, 25.742, 4.812, 4.812, 0.235, 0.8, 12.54, 12.54, 12.54, 28.208, 30.699, 35.68, 6.746, 3.545, 3.545, 19.898, 7.999, 0.83, 5.569, 4.724, 21.401, 1, 1, 5.992, 3.199, 3.199, 4, 0.0, 17.777, 4.025, 6.702, 0.0, 0.0, 23.249, 11.071, 11.071, 1, 4.402, 18.307, 16.582, 6
19.97, 4, 0.868, 7.569, 4.569, 4.569, 4.569, 1.465, 33.184, 7.314, 7.314, 44.718, 0.0, 1, 2.029, 38.176, 8.302, 2, -0.093, -0.183, 1, 3.418, 3.418, 5.418, 3.418, -0.076, 4.394, 4.394, 22.887, 5.812, 176.223, 25.742, 4.812, 4.812, 0.235, 0.8, 12.54, 12.54, 12.54, 28.208, 30.699, 35.68, 6.746, 3.545, 3.545, 19.898, 7.999, 0.83, 5.569, 4.724, 21.401, 1, 1, 5.992, 3.199, 3.199, 4, 0.0, 17.777, 4.025, 6.702, 0.0, 0.0, 23.249, 11.071, 11.071, 1, 4.402, 18.307, 16.582, 6
19.201, 3, 0.585, 7.333, 4.333, 4.333, 4.333, 3.825, 32.547, 6.957, 6.957, 134.231, 0.0, 0.0, 1.96, 37.432, 8.113, 3, -0.135, -0.503, 3, 3.381, 3.381, 5.381, 3.381, 0.074, 4.341, 4.341, 22.227, 5.577, 181.198, 25.269, 4.629, 4.629, 0.241, 0.7, 11.824, 11.824, 11.824, 27.672, 30.12, 34.992, 6.768, 3.677, 3.677, 19.359, 5.067, 0.67, 0.0, 4.139, 20.819, 0.75, 1, 5.829, 3.156, 3.156, 3, 0.0, 17.472, 4.003, 6.387, 0.0, 0.0, 22.809, 11.125, 11.125, 1, 4.367, 17.955, 16.286, 5.653
19.297, 4, 0.64, 7.333, 4.333, 4.333, 4.333, 7.41, 32.79, 6.97, 6.97, 134.231, 0.0, 0.0, 1.975, 37.663, 8.388, 3, -0.135, -0.52, 3, 3.393, 3.393, 5.393, 3.393, 0.052, 4.355, 4.355, 22.24, 5.588, 183.962, 25.525, 4.631, 4.631, 0.219, 0.6, 11.872, 11.872, 11.872, 27.926, 30.367, 35.229, 6.774, 3.681, 3.681, 19.379, 6.456, 0.67, 0.0, 4.14, 20.835, 0.75, 2, 5.88, 3.199, 3.199, 3, 0.0, 17.756, 4.004, 6.723, 0.0, 0.0, 23.073, 11.138, 11.138, 0.0, 4.383, 18.226, 16.573, 5.208
21.197, 6, 0.536, 7.346, 4.346, 4.346, 4.346, 6.11, 33.525, 7.425, 7.425, 134.231, 0.0, 0.0, 1.979, 38.61, 8.267, 3, -0.079, -0.466, 3, 3.516, 3.516, 5.516, 3.516, -0.015, 4.48, 4.48, 22.293, 5.636, 175.345, 25.958, 4.683, 4.683, 0.237, 0.6, 13.006, 13.006, 13.006, 28.457, 30.999, 36.07, 6.82, 3.711, 3.711, 19.423, 6.458, 0.67, 0.0, 4.143, 20.882, 0.75, 1, 5.866, 3.176, 3.176, 3, 0.0, 17.889, 4.005, 6.507, 0.0, 0.0, 23.411, 11.265, 11.265, 0.0, 4.442, 18.387, 16.665, 5.47
21.198, 6, 0.565, 7.346, 4.346, 4.346, 4.346, 7.649, 33.527, 7.426, 7.426, 134.231, 0.0, 0.0, 1.98, 38.611, 8.286, 3, -0.123, -1.432, 3, 3.517, 3.517, 5.517, 3.517, 0.007, 4.48, 4.48, 22.294, 5.638, 184.171, 25.959, 4.683, 4.683, 0.229, 0.6, 13.007, 13.007, 13.007, 28.459, 31, 36.071, 6.82, 3.711, 3.711, 19.424, 6.452, 0.67, 0.0, 4.143, 20.883, 0.75, 1, 5.871, 3.176, 3.176, 3, 0.0, 17.894, 4.005, 6.51, 0.0, 0.0, 23.413, 11.265, 11.265, 0.0, 4.442, 18.39, 16.671, 5.763
21.585, 3, 0.718, 7.356, 4.356, 4.356, 4.356, 5.667, 33.841, 7.489, 7.489, 134.231, 0.0, 0.0, 1.96, 38.984, 8.35, 3, -0.109, 0.0, 3, 3.574, 3.574, 5.574, 3.574, -0.048, 4.532, 4.532, 22.335, 5.674, 152.421, 26.181, 4.727, 4.727, 0.228, 0.7, 13.368, 13.368, 13.368, 28.715, 31.282, 36.413, 6.787, 3.714, 3.714, 19.457, 5.062, 0.83, 0.0, 4.139, 20.919, 0.75, 2, 5.91, 3.164, 3.164, 3, 0.0, 18.08, 4.003, 6.622, 0.0, 0.0, 23.613, 11.183, 11.183, 1, 4.454, 18.539, 16.841, 5.535
19.08, 6, 0.633, 7.33, 4.33, 4.33, 4.33, 3.857, 32.448, 6.921, 6.921, 134.231, 0.0, 0.0, 1.961, 37.318, 8.095, 3, 0.02, -0.373, 3, 3.366, 3.366, 5.366, 3.366, -0.054, 4.32, 4.32, 22.209, 5.572, 166.311, 25.192, 4.62, 4.62, 0.24, 0.8, 11.711, 11.711, 11.711, 27.587, 30.028, 34.887, 6.764, 3.664, 3.664, 19.342, 6.45, 0.67, 0.0, 4.139, 20.802, 0.75, 1, 5.696, 3.155, 3.155, 3, 0.0, 17.421, 4.002, 6.302, 0.0, 0.0, 22.737, 11.114, 11.114, 1, 4.347, 17.896, 16.239, 5.251
19.479, 4, 0.621, 7.33, 4.33, 4.33, 4.33, 7.319, 33.118, 7.245, 7.245, 134.231, 0.0, 0.0, 1.976, 38.047, 8.424, 3, -0.133, -0.361, 3, 3.393, 3.393, 5.393, 3.393, -0.003, 4.372, 4.372, 22.248, 5.579, 183.962, 25.76, 4.623, 4.623, 0.218, 0.6, 12.109, 12.109, 12.109, 28.196, 30.664, 35.584, 6.918, 3.669, 3.669, 19.395, 6.455, 0.67, 0.0, 4.139, 20.846, 0.75, 2, 5.977, 3.318, 3.318, 3, 6, 17.891, 4.003, 6.763, 1, 1, 23.284, 11.686, 11.686, 0.0, 4.437, 18.377, 16.697, 5.119
