@relation QSAR-Dataset-from-ChEMBL17-for-Drug-Target-with-ChEMBL_ID:CHEMBL240-weka.filters.unsupervised.attribute.Remove-R1

@attribute AMW numeric
@attribute C. numeric
@attribute H. numeric
@attribute Me numeric
@attribute Mi numeric
@attribute Mp numeric
@attribute Mv numeric
@attribute MW numeric
@attribute N. numeric
@attribute nAB numeric
@attribute nAT numeric
@attribute nB numeric
@attribute nBM numeric
@attribute nBO numeric
@attribute nBR numeric
@attribute nBT numeric
@attribute nC numeric
@attribute nCL numeric
@attribute nCsp numeric
@attribute nCsp2 numeric
@attribute nCsp3 numeric
@attribute nDB numeric
@attribute nF numeric
@attribute nH numeric
@attribute nHet numeric
@attribute nHM numeric
@attribute nI numeric
@attribute nN numeric
@attribute nO numeric
@attribute nP numeric
@attribute nS numeric
@attribute nSK numeric
@attribute nTB numeric
@attribute nX numeric
@attribute O. numeric
@attribute RBF numeric
@attribute RBN numeric
@attribute SCBO numeric
@attribute Se numeric
@attribute Si numeric
@attribute Sp numeric
@attribute Sv numeric
@attribute X. numeric
@attribute pXC50 numeric

@data
7.73, 37.2, 46.5, 1.03, 1.166, 0.618, 0.607, 332.38, 4.7, 6, 43, 0.0, 7, 24, 0.0, 44, 16, 0.0, 0.0, 7, 9, 1, 4, 20, 7, 0.0, 0.0, 2, 1, 0.0, 0.0, 23, 0.0, 4, 2.3, 0.091, 4, 28, 44.301, 50.132, 26.591, 26.086, 9.3, 5
6.857, 37.2, 53.5, 0.99, 1.133, 0.644, 0.59, 294.86, 4.7, 6, 43, 0.0, 7, 21, 0.0, 44, 16, 1, 0.0, 7, 9, 1, 0.0, 23, 4, 1, 0.0, 2, 1, 0.0, 0.0, 20, 0.0, 1, 2.3, 0.091, 4, 25, 42.574, 48.717, 27.699, 25.38, 2.3, 4.281
5.887, 36.7, 57.1, 0.98, 1.135, 0.62, 0.563, 288.48, 4.1, 6, 49, 0.0, 7, 22, 0.0, 50, 18, 0.0, 0.0, 7, 11, 1, 0.0, 28, 3, 0.0, 0.0, 2, 1, 0.0, 0.0, 21, 0.0, 0.0, 2, 0.1, 5, 26, 48.018, 55.604, 30.364, 27.606, 0.0, 4.889
6.246, 34.8, 55.1, 0.992, 1.14, 0.613, 0.568, 555.85, 5.6, 6, 89, 0.0, 8, 44, 0.0, 93, 31, 0.0, 0.0, 6, 25, 2, 0.0, 49, 9, 0.0, 0.0, 5, 4, 0.0, 0.0, 40, 0.0, 0.0, 4.5, 0.075, 7, 49, 88.257, 101.464, 54.597, 50.556, 0.0, 4.924
8.447, 38.2, 47.1, 1.007, 1.13, 0.684, 0.636, 287.21, 5.9, 6, 34, 0.0, 7, 19, 0.0, 35, 13, 2, 0.0, 7, 6, 1, 0.0, 16, 5, 2, 0.0, 2, 1, 0.0, 0.0, 18, 0.0, 2, 2.9, 0.086, 3, 23, 34.247, 38.416, 23.273, 21.627, 5.9, 4.699
7.683, 37.7, 45.9, 1.006, 1.133, 0.663, 0.627, 468.64, 9.8, 17, 61, 0.0, 19, 37, 0.0, 65, 23, 0.0, 0.0, 14, 9, 2, 0.0, 28, 10, 1, 0.0, 6, 3, 0.0, 1, 33, 0.0, 0.0, 4.9, 0.092, 6, 47.5, 61.389, 69.105, 40.421, 38.255, 0.0, 4.8
7.882, 37.5, 50, 1, 1.131, 0.67, 0.617, 315.27, 5, 6, 40, 0.0, 7, 21, 0.0, 41, 15, 2, 0.0, 7, 8, 1, 0.0, 20, 5, 2, 0.0, 2, 1, 0.0, 0.0, 20, 0.0, 2, 2.5, 0.098, 4, 25, 40.014, 45.246, 26.796, 24.681, 5, 5
7.882, 37.5, 50, 1, 1.131, 0.67, 0.617, 315.27, 5, 6, 40, 0.0, 7, 21, 0.0, 41, 15, 2, 0.0, 7, 8, 1, 0.0, 20, 5, 2, 0.0, 2, 1, 0.0, 0.0, 20, 0.0, 2, 2.5, 0.098, 4, 25, 40.014, 45.246, 26.796, 24.681, 5, 4.764
7.163, 38.5, 47.7, 1.005, 1.134, 0.642, 0.613, 465.61, 7.7, 17, 65, 0.0, 17, 38, 0.0, 69, 25, 0.0, 0.0, 13, 12, 0.0, 0.0, 31, 9, 0.0, 0.0, 5, 4, 0.0, 0.0, 34, 0.0, 0.0, 6.2, 0.072, 5, 46.5, 65.305, 73.727, 41.745, 39.815, 0.0, 5.081
8.927, 42.1, 42.1, 1.015, 1.122, 0.703, 0.667, 339.24, 5.3, 6, 38, 0.0, 9, 24, 0.0, 40, 16, 2, 0.0, 11, 5, 3, 0.0, 16, 6, 2, 0.0, 2, 2, 0.0, 0.0, 22, 0.0, 2, 5.3, 0.075, 3, 30, 38.574, 42.625, 26.727, 25.342, 5.3, 4.398
8.822, 44.7, 42.1, 1.007, 1.116, 0.718, 0.674, 335.25, 5.3, 12, 38, 0.0, 13, 24, 0.0, 40, 17, 2, 0.0, 13, 4, 1, 0.0, 16, 5, 2, 0.0, 2, 1, 0.0, 0.0, 22, 0.0, 2, 2.6, 0.075, 3, 31, 38.247, 42.416, 27.273, 25.627, 5.3, 5.101
7.401, 37.5, 48.4, 1.006, 1.129, 0.65, 0.613, 473.65, 4.7, 16, 64, 0.0, 18, 36, 0.0, 67, 24, 0.0, 0.0, 13, 11, 2, 0.0, 31, 9, 1, 0.0, 3, 5, 0.0, 1, 33, 0.0, 0.0, 7.8, 0.134, 9, 46, 64.389, 72.275, 41.597, 39.2, 0.0, 6.745
8.114, 39.6, 45.3, 1.001, 1.127, 0.691, 0.643, 430.02, 9.4, 16, 53, 0.0, 16, 33, 0.0, 57, 21, 1, 0.0, 11, 10, 0.0, 0.0, 24, 8, 2, 0.0, 5, 1, 0.0, 1, 29, 0.0, 1, 1.9, 0.123, 7, 41, 53.072, 59.717, 36.603, 34.104, 1.9, 5.85
7.803, 39.6, 45.3, 1.005, 1.134, 0.673, 0.635, 413.57, 9.4, 16, 53, 0.0, 16, 33, 0.0, 57, 21, 0.0, 0.0, 11, 10, 0.0, 1, 24, 8, 1, 0.0, 5, 1, 0.0, 1, 29, 0.0, 1, 1.9, 0.123, 7, 41, 53.261, 60.113, 35.682, 33.66, 1.9, 5.7
8.374, 40, 41.8, 1.019, 1.147, 0.675, 0.65, 460.58, 10.9, 17, 55, 0.0, 17, 36, 0.0, 59, 22, 0.0, 0.0, 12, 10, 0.0, 3, 23, 10, 1, 0.0, 6, 0.0, 0.0, 1, 32, 0.0, 3, 0.0, 0.119, 7, 44.5, 56.061, 63.081, 37.108, 35.733, 5.5, 5.5
8.183, 39.7, 43.1, 1.016, 1.146, 0.67, 0.642, 474.61, 10.3, 17, 58, 0.0, 17, 37, 0.0, 62, 23, 0.0, 0.0, 12, 11, 0.0, 3, 25, 10, 1, 0.0, 6, 0.0, 0.0, 1, 33, 0.0, 3, 0.0, 0.113, 7, 45.5, 58.945, 66.496, 38.87, 37.26, 5.2, 6.1
8.278, 39.3, 42.9, 1.021, 1.147, 0.666, 0.642, 463.58, 8.9, 16, 56, 0.0, 16, 36, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 3, 24, 10, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 3, 1.8, 0.117, 7, 44, 57.17, 64.207, 37.319, 35.954, 5.4, 6
8.071, 38.6, 45.6, 1.005, 1.129, 0.681, 0.638, 460.05, 8.8, 16, 57, 0.0, 16, 35, 0.0, 61, 22, 1, 0.0, 11, 11, 0.0, 0.0, 26, 9, 2, 0.0, 5, 2, 0.0, 1, 31, 0.0, 1, 3.5, 0.131, 8, 43, 57.283, 64.342, 38.818, 36.346, 1.8, 5.55
8.622, 43.5, 45.2, 0.991, 1.117, 0.712, 0.655, 534.57, 8.1, 22, 62, 0.0, 22, 39, 1, 67, 27, 0.0, 0.0, 17, 10, 0.0, 0.0, 28, 7, 2, 0.0, 5, 0.0, 0.0, 1, 34, 0.0, 1, 0.0, 0.104, 7, 50, 61.418, 69.236, 44.165, 40.641, 1.6, 6.9
7.63, 44.4, 44.4, 0.991, 1.119, 0.699, 0.653, 480.69, 9.5, 22, 63, 0.0, 23, 40, 0.0, 68, 28, 0.0, 1, 17, 10, 0.0, 0.0, 28, 7, 1, 0.0, 6, 0.0, 0.0, 1, 35, 1, 0.0, 0.0, 0.103, 7, 53, 62.407, 70.477, 44.057, 41.11, 0.0, 6.2
7.359, 42.4, 47, 0.991, 1.121, 0.682, 0.634, 485.71, 7.6, 22, 66, 0.0, 22, 40, 0.0, 71, 28, 0.0, 0.0, 17, 11, 0.0, 0.0, 31, 7, 1, 0.0, 5, 1, 0.0, 1, 35, 0.0, 0.0, 1.5, 0.113, 8, 51, 65.4, 74.019, 45.029, 41.857, 0.0, 6.2
8.116, 40.4, 43.9, 1.017, 1.143, 0.668, 0.64, 462.59, 7, 16, 57, 0.0, 16, 36, 0.0, 61, 23, 0.0, 0.0, 12, 11, 0.0, 3, 25, 9, 1, 0.0, 4, 1, 0.0, 1, 32, 0.0, 3, 1.8, 0.115, 7, 44, 57.952, 65.124, 38.074, 36.459, 5.3, 6.7
8.027, 40.7, 44.1, 1.012, 1.143, 0.672, 0.64, 473.62, 8.5, 17, 59, 0.0, 17, 37, 0.0, 63, 24, 0.0, 0.0, 13, 11, 0.0, 3, 26, 9, 1, 0.0, 5, 0.0, 0.0, 1, 33, 0.0, 3, 0.0, 0.111, 7, 45.5, 59.727, 67.413, 39.625, 37.766, 5.1, 6.1
7.464, 39.6, 47.2, 0.995, 1.128, 0.674, 0.628, 395.58, 9.4, 16, 53, 0.0, 16, 32, 0.0, 57, 21, 0.0, 0.0, 11, 10, 0.0, 0.0, 25, 7, 1, 0.0, 5, 1, 0.0, 1, 28, 0.0, 0.0, 1.9, 0.123, 7, 40, 52.749, 59.773, 35.745, 33.277, 0.0, 5.8
8.095, 39, 44.1, 1.018, 1.146, 0.662, 0.635, 477.61, 8.5, 16, 59, 0.0, 16, 37, 0.0, 63, 23, 0.0, 0.0, 11, 12, 0.0, 3, 26, 10, 1, 0.0, 5, 1, 0.0, 1, 33, 0.0, 3, 1.7, 0.111, 7, 45, 60.054, 67.622, 39.08, 37.48, 5.1, 6.4
6.949, 38.5, 50.8, 0.989, 1.13, 0.658, 0.606, 451.7, 7.7, 16, 65, 0.0, 16, 36, 0.0, 69, 25, 0.0, 0.0, 11, 14, 0.0, 0.0, 33, 7, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 0.0, 1.5, 0.116, 8, 44, 64.283, 73.434, 42.79, 39.384, 0.0, 6.2
6.949, 38.5, 50.8, 0.989, 1.13, 0.658, 0.606, 451.7, 7.7, 16, 65, 0.0, 16, 36, 0.0, 69, 25, 0.0, 0.0, 11, 14, 0.0, 0.0, 33, 7, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 0.0, 1.5, 0.116, 8, 44, 64.283, 73.434, 42.79, 39.384, 0.0, 6.4
6.949, 38.5, 50.8, 0.989, 1.13, 0.658, 0.606, 451.7, 7.7, 16, 65, 0.0, 16, 36, 0.0, 69, 25, 0.0, 0.0, 11, 14, 0.0, 0.0, 33, 7, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 0.0, 1.5, 0.116, 8, 44, 64.283, 73.434, 42.79, 39.384, 0.0, 6
7.467, 38.6, 47.4, 0.999, 1.13, 0.666, 0.623, 425.61, 8.8, 16, 57, 0.0, 16, 34, 0.0, 61, 22, 0.0, 0.0, 11, 11, 0.0, 0.0, 27, 8, 1, 0.0, 5, 2, 0.0, 1, 30, 0.0, 0.0, 3.5, 0.131, 8, 42, 56.96, 64.398, 37.961, 35.518, 0.0, 5.7
8.599, 39.3, 41.1, 1.03, 1.153, 0.665, 0.649, 481.57, 8.9, 16, 56, 0.0, 16, 37, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 4, 23, 11, 1, 0.0, 5, 1, 0.0, 1, 33, 0.0, 4, 1.8, 0.117, 7, 45, 57.683, 64.547, 37.256, 36.337, 7.1, 5.45
7.803, 39.6, 45.3, 1.005, 1.134, 0.673, 0.635, 413.57, 9.4, 16, 53, 0.0, 16, 33, 0.0, 57, 21, 0.0, 0.0, 11, 10, 0.0, 1, 24, 8, 1, 0.0, 5, 1, 0.0, 1, 29, 0.0, 1, 1.9, 0.123, 7, 41, 53.261, 60.113, 35.682, 33.66, 1.9, 6
7.191, 39.3, 49.2, 0.994, 1.127, 0.664, 0.616, 438.65, 6.6, 17, 61, 0.0, 19, 34, 0.0, 64, 24, 0.0, 0.0, 15, 9, 2, 0.0, 30, 7, 1, 0.0, 4, 2, 0.0, 1, 31, 0.0, 0.0, 3.3, 0.125, 8, 44.5, 60.625, 68.73, 40.478, 37.551, 0.0, 5.6
8.142, 37.8, 48.6, 1.004, 1.131, 0.677, 0.626, 301.24, 5.4, 6, 37, 0.0, 7, 20, 0.0, 38, 14, 2, 0.0, 7, 7, 1, 0.0, 18, 5, 2, 0.0, 2, 1, 0.0, 0.0, 19, 0.0, 2, 2.7, 0.105, 4, 24, 37.131, 41.831, 25.034, 23.154, 5.4, 4.73
7.905, 43.5, 45.2, 0.992, 1.118, 0.704, 0.652, 490.12, 8.1, 22, 62, 0.0, 22, 39, 0.0, 67, 27, 1, 0.0, 17, 10, 0.0, 0.0, 28, 7, 2, 0.0, 5, 0.0, 0.0, 1, 34, 0.0, 1, 0.0, 0.104, 7, 50, 61.512, 69.338, 43.671, 40.443, 1.6, 5.75
8.599, 39.3, 41.1, 1.03, 1.153, 0.665, 0.649, 481.57, 8.9, 16, 56, 0.0, 16, 37, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 4, 23, 11, 1, 0.0, 5, 1, 0.0, 1, 33, 0.0, 4, 1.8, 0.117, 7, 45, 57.683, 64.547, 37.256, 36.337, 7.1, 6.2
8.622, 43.5, 45.2, 0.991, 1.117, 0.712, 0.655, 534.57, 8.1, 22, 62, 0.0, 22, 39, 1, 67, 27, 0.0, 0.0, 17, 10, 0.0, 0.0, 28, 7, 2, 0.0, 5, 0.0, 0.0, 1, 34, 0.0, 1, 0.0, 0.104, 7, 50, 61.418, 69.236, 44.165, 40.641, 1.6, 6.3
8.622, 43.5, 45.2, 0.991, 1.117, 0.712, 0.655, 534.57, 8.1, 22, 62, 0.0, 22, 39, 1, 67, 27, 0.0, 0.0, 17, 10, 0.0, 0.0, 28, 7, 2, 0.0, 5, 0.0, 0.0, 1, 34, 0.0, 1, 0.0, 0.104, 7, 50, 61.418, 69.236, 44.165, 40.641, 1.6, 6.6
8.278, 39.3, 42.9, 1.021, 1.147, 0.666, 0.642, 463.58, 8.9, 16, 56, 0.0, 16, 36, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 3, 24, 10, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 3, 1.8, 0.117, 7, 44, 57.17, 64.207, 37.319, 35.954, 5.4, 5.2
8.057, 43.1, 43.1, 1.009, 1.136, 0.683, 0.651, 523.68, 7.7, 22, 65, 0.0, 22, 42, 0.0, 70, 28, 0.0, 0.0, 17, 11, 0.0, 3, 28, 9, 1, 0.0, 5, 0.0, 0.0, 1, 37, 0.0, 3, 0.0, 0.1, 7, 53, 65.61, 73.828, 44.387, 42.292, 4.6, 6.8
7.746, 47.4, 42.1, 1.003, 1.12, 0.688, 0.661, 441.54, 5.3, 22, 57, 0.0, 24, 37, 0.0, 61, 27, 0.0, 0.0, 22, 5, 2, 1, 24, 6, 0.0, 0.0, 3, 2, 0.0, 0.0, 33, 0.0, 1, 3.5, 0.049, 3, 50, 57.192, 63.821, 39.239, 37.672, 1.8, 5
6.252, 36.4, 54.5, 0.988, 1.137, 0.623, 0.575, 412.64, 6.1, 6, 66, 0.0, 8, 33, 0.0, 69, 24, 0.0, 0.0, 8, 16, 2, 0.0, 36, 6, 0.0, 0.0, 4, 2, 0.0, 0.0, 30, 0.0, 0.0, 3, 0.072, 5, 38, 65.199, 75.055, 41.114, 37.944, 0.0, 5.377
7.467, 38.6, 47.4, 0.999, 1.13, 0.666, 0.623, 425.61, 8.8, 16, 57, 0.0, 16, 34, 0.0, 61, 22, 0.0, 0.0, 11, 11, 0.0, 0.0, 27, 8, 1, 0.0, 5, 2, 0.0, 1, 30, 0.0, 0.0, 3.5, 0.131, 8, 42, 56.96, 64.398, 37.961, 35.518, 0.0, 5.4
8.114, 39.6, 45.3, 1.001, 1.127, 0.691, 0.643, 430.02, 9.4, 16, 53, 0.0, 16, 33, 0.0, 57, 21, 1, 0.0, 11, 10, 0.0, 0.0, 24, 8, 2, 0.0, 5, 1, 0.0, 1, 29, 0.0, 1, 1.9, 0.123, 7, 41, 53.072, 59.717, 36.603, 34.104, 1.9, 6.25
7.364, 38.7, 46.8, 1.012, 1.138, 0.64, 0.616, 456.57, 6.5, 16, 62, 0.0, 17, 36, 0.0, 65, 24, 0.0, 0.0, 14, 10, 1, 1, 29, 9, 0.0, 0.0, 4, 4, 0.0, 0.0, 33, 0.0, 1, 6.5, 0.138, 9, 45, 62.716, 70.568, 39.676, 38.176, 1.6, 6.367
7.77, 39.3, 45.9, 1.012, 1.129, 0.656, 0.628, 474, 4.9, 16, 61, 0.0, 17, 36, 0.0, 64, 24, 1, 0.0, 14, 10, 1, 0.0, 28, 9, 1, 0.0, 3, 5, 0.0, 0.0, 33, 0.0, 1, 8.2, 0.141, 9, 45, 61.752, 68.884, 40.046, 38.314, 1.6, 5
7.962, 40.7, 44.4, 1.012, 1.127, 0.668, 0.64, 429.94, 5.6, 16, 54, 0.0, 17, 33, 0.0, 57, 22, 1, 0.0, 14, 8, 1, 0.0, 24, 8, 1, 0.0, 3, 4, 0.0, 0.0, 30, 0.0, 1, 7.4, 0.123, 7, 42, 54.658, 60.844, 36.068, 34.546, 1.9, 5
7.882, 37.5, 50, 1, 1.131, 0.67, 0.617, 315.27, 5, 6, 40, 0.0, 7, 21, 0.0, 41, 15, 2, 0.0, 7, 8, 1, 0.0, 20, 5, 2, 0.0, 2, 1, 0.0, 0.0, 20, 0.0, 2, 2.5, 0.098, 4, 25, 40.014, 45.246, 26.796, 24.681, 5, 4.699
10.035, 38.2, 38.2, 1.053, 1.16, 0.679, 0.67, 341.18, 5.9, 6, 34, 0.0, 7, 22, 0.0, 35, 13, 2, 0.0, 7, 6, 1, 3, 13, 8, 2, 0.0, 2, 1, 0.0, 0.0, 21, 0.0, 5, 2.9, 0.086, 3, 26, 35.785, 39.435, 23.085, 22.777, 14.7, 5
7.982, 39, 48.8, 1, 1.128, 0.678, 0.626, 327.28, 4.9, 6, 41, 0.0, 7, 23, 0.0, 43, 16, 2, 0.0, 7, 9, 1, 0.0, 20, 5, 2, 0.0, 2, 1, 0.0, 0.0, 21, 0.0, 2, 2.4, 0.116, 5, 27, 41.014, 46.246, 27.796, 25.681, 4.9, 5.146
7.658, 37.2, 51.2, 0.998, 1.132, 0.664, 0.609, 329.3, 4.7, 6, 43, 0.0, 7, 22, 0.0, 44, 16, 2, 0.0, 7, 9, 1, 0.0, 22, 5, 2, 0.0, 2, 1, 0.0, 0.0, 21, 0.0, 2, 2.3, 0.091, 4, 26, 42.898, 48.661, 28.557, 26.207, 4.7, 4.775
8.763, 39.6, 43.4, 1.007, 1.126, 0.707, 0.659, 464.46, 9.4, 16, 53, 0.0, 16, 34, 0.0, 57, 21, 2, 0.0, 11, 10, 0.0, 0.0, 23, 9, 3, 0.0, 5, 1, 0.0, 1, 30, 0.0, 2, 1.9, 0.123, 7, 42, 53.396, 59.661, 37.46, 34.932, 3.8, 6
7.982, 39, 48.8, 1, 1.128, 0.678, 0.626, 327.28, 4.9, 6, 41, 0.0, 7, 23, 0.0, 43, 16, 2, 0.0, 7, 9, 1, 0.0, 20, 5, 2, 0.0, 2, 1, 0.0, 0.0, 21, 0.0, 2, 2.4, 0.07, 3, 27, 41.014, 46.246, 27.796, 25.681, 4.9, 4.987
7.658, 37.2, 51.2, 0.998, 1.132, 0.664, 0.609, 329.3, 4.7, 6, 43, 0.0, 7, 22, 0.0, 44, 16, 2, 0.0, 7, 9, 1, 0.0, 22, 5, 2, 0.0, 2, 1, 0.0, 0.0, 21, 0.0, 2, 2.3, 0.114, 5, 26, 42.898, 48.661, 28.557, 26.207, 4.7, 5.111
8.599, 39.3, 41.1, 1.03, 1.153, 0.665, 0.649, 481.57, 8.9, 16, 56, 0.0, 16, 37, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 4, 23, 11, 1, 0.0, 5, 1, 0.0, 1, 33, 0.0, 4, 1.8, 0.117, 7, 45, 57.683, 64.547, 37.256, 36.337, 7.1, 6.2
7.35, 43.5, 46.8, 0.987, 1.119, 0.691, 0.639, 455.68, 8.1, 22, 62, 0.0, 22, 38, 0.0, 67, 27, 0.0, 0.0, 17, 10, 0.0, 0.0, 29, 6, 1, 0.0, 5, 0.0, 0.0, 1, 33, 0.0, 0.0, 0.0, 0.104, 7, 49, 61.189, 69.394, 42.813, 39.616, 0.0, 5.5
8.461, 43.5, 43.5, 0.997, 1.117, 0.718, 0.666, 524.56, 8.1, 22, 62, 0.0, 22, 40, 0.0, 67, 27, 2, 0.0, 17, 10, 0.0, 0.0, 27, 8, 3, 0.0, 5, 0.0, 0.0, 1, 35, 0.0, 2, 0.0, 0.104, 7, 51, 61.836, 69.282, 44.529, 41.271, 3.2, 6.1
6.916, 41.9, 50, 0.983, 1.122, 0.674, 0.618, 511.8, 6.8, 22, 74, 0.0, 22, 42, 0.0, 79, 31, 0.0, 0.0, 17, 14, 0.0, 0.0, 37, 6, 1, 0.0, 5, 0.0, 0.0, 1, 37, 0.0, 0.0, 0.0, 0.101, 8, 53, 72.723, 83.055, 49.859, 45.723, 0.0, 6.6
8.227, 38.3, 43.3, 1.023, 1.147, 0.659, 0.637, 493.61, 8.3, 16, 60, 0.0, 16, 38, 0.0, 64, 23, 0.0, 0.0, 11, 12, 0.0, 3, 26, 11, 1, 0.0, 5, 2, 0.0, 1, 34, 0.0, 3, 3.3, 0.125, 8, 46, 61.381, 68.832, 39.534, 38.195, 5, 5.9
8.278, 39.3, 42.9, 1.021, 1.147, 0.666, 0.642, 463.58, 8.9, 16, 56, 0.0, 16, 36, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 3, 24, 10, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 3, 1.8, 0.117, 7, 44, 57.17, 64.207, 37.319, 35.954, 5.4, 6.4
8.278, 39.3, 42.9, 1.021, 1.147, 0.666, 0.642, 463.58, 8.9, 16, 56, 0.0, 16, 36, 0.0, 60, 22, 0.0, 0.0, 11, 11, 0.0, 3, 24, 10, 1, 0.0, 5, 1, 0.0, 1, 32, 0.0, 3, 1.8, 0.117, 7, 44, 57.17, 64.207, 37.319, 35.954, 5.4, 6.2
